,Area,Convex Area,Major_axis_length,Plate_id,Well_id,bbox,centroid
1357,307,442,42.336103689070576,DEC_P4,S,"(2332, 206, 2370, 224)","(2350.214983713355, 213.32899022801303)"
1358,341,491,44.69746829849958,DEC_P4,S,"(2412, 982, 2448, 1010)","(2429.2785923753668, 995.5073313782991)"
1359,322,446,42.96762116249631,DEC_P4,S,"(2415, 900, 2454, 917)","(2432.2329192546586, 907.2018633540373)"
1360,339,492,45.51157603441216,DEC_P4,S,"(2444, 309, 2465, 350)","(2453.16814159292, 329.13569321533924)"
1361,295,388,45.18561077970459,DEC_P4,S,"(2448, 796, 2476, 830)","(2460.2135593220337, 813.0881355932204)"
1362,346,489,46.41794196431657,DEC_P4,S,"(2464, 706, 2481, 746)","(2470.0375722543354, 722.6965317919075)"
1363,333,484,41.71693692567386,DEC_P4,S,"(2474, 947, 2491, 987)","(2481.2702702702704, 966.8018018018018)"
1364,343,480,49.62122415783728,DEC_P4,S,"(2529, 611, 2547, 656)","(2537.087463556851, 633.3848396501458)"
1365,160,202,26.427904929707992,DEC_P4,S,"(2536, 1043, 2562, 1054)","(2548.1375, 1048.20625)"
1366,364,529,47.356998530293666,DEC_P4,S,"(2563, 869, 2590, 908)","(2574.7747252747254, 886.7692307692307)"
1367,314,451,39.760901490246106,DEC_P4,S,"(2594, 285, 2615, 318)","(2603.207006369427, 301.80573248407643)"
1368,306,426,42.24499856922642,DEC_P4,S,"(2602, 805, 2638, 828)","(2619.2124183006536, 816.5359477124183)"
1369,671,1178,52.93138110453018,DEC_P4,S,"(2603, 213, 2652, 252)","(2629.5812220566318, 229.84053651266765)"
1370,361,498,50.32866247428731,DEC_P4,S,"(2624, 859, 2669, 880)","(2645.7562326869806, 869.6925207756233)"
1371,247,326,34.26738882254724,DEC_P4,S,"(2661, 159, 2678, 189)","(2669.137651821862, 172.95951417004048)"
1372,302,466,42.319859964741475,DEC_P4,S,"(2668, 794, 2700, 823)","(2684.9701986754967, 807.8543046357615)"
1373,395,616,58.21001323956334,DEC_P4,S,"(2683, 156, 2739, 172)","(2710.179746835443, 163.70886075949366)"
1374,415,628,57.67898316209396,DEC_P4,S,"(2707, 837, 2740, 885)","(2722.0409638554215, 859.3542168674699)"
1375,356,546,49.991890019160834,DEC_P4,S,"(2736, 315, 2783, 335)","(2758.449438202247, 324.5674157303371)"
1376,332,481,48.90970982945105,DEC_P4,S,"(2740, 244, 2774, 277)","(2754.3132530120483, 261.8644578313253)"
1377,304,441,41.815016501238276,DEC_P4,S,"(2775, 1005, 2805, 1034)","(2790.3026315789475, 1018.3092105263158)"
1378,317,469,37.601086393128675,DEC_P4,S,"(2821, 276, 2850, 303)","(2836.173501577287, 287.29337539432174)"
1379,369,552,48.77782616513738,DEC_P4,S,"(2834, 162, 2874, 190)","(2853.6151761517617, 177.14634146341464)"
1380,372,540,52.37930535278959,DEC_P4,S,"(2839, 362, 2886, 379)","(2863.0456989247314, 369.78494623655916)"
1381,380,612,47.046699917316005,DEC_P4,S,"(2876, 797, 2898, 841)","(2886.8447368421052, 819.0131578947369)"
1382,380,612,47.046699917316005,DEC_P4,S,"(2876, 797, 2898, 841)","(2886.8447368421052, 819.0131578947369)"
1383,328,481,47.44661613188834,DEC_P4,S,"(2890, 713, 2907, 755)","(2897.7195121951218, 734.9237804878048)"
1384,122,148,20.015631911607752,DEC_P4,S,"(2915, 160, 2935, 171)","(2925.5737704918033, 163.97540983606558)"
1385,362,548,45.23502010238258,DEC_P4,S,"(2921, 870, 2961, 893)","(2940.6988950276245, 880.0966850828729)"
1386,330,480,40.8982466426837,DEC_P4,S,"(2945, 354, 2963, 391)","(2953.048484848485, 371.93636363636364)"
1387,329,495,44.257315080453424,DEC_P4,S,"(2955, 769, 2991, 794)","(2973.231003039514, 781.224924012158)"
